track_id,display_label,jersey_number,player_name,face_cluster,frames_tracked,max_speed_kmh,avg_speed_kmh
823,ID 823,,,,1,0.0,0.0
853,ID 853,,,,1,0.0,0.0
835,ID 835,,,,1,0.0,0.0
861,ID 861,,,,1,0.0,0.0
59,ID 59,,,,1,0.0,0.0
959,ID 959,,,,1,0.0,0.0
957,ID 957,,,,1,0.0,0.0
60,ID 60,,,,1,0.0,0.0
876,ID 876,,,,1,0.0,0.0
86,ID 86,,,,1,0.0,0.0
377,ID 377,,,,1,0.0,0.0
970,ID 970,,,,1,0.0,0.0
431,ID 431,,,,1,0.0,0.0
386,ID 386,,,,1,0.0,0.0
1087,ID 1087,,,,1,0.0,0.0
387,ID 387,,,,1,0.0,0.0
124,ID 124,,,,1,0.0,0.0
1088,ID 1088,,,,1,0.0,0.0
1095,ID 1095,,,,1,0.0,0.0
1068,ID 1068,,,,1,0.0,0.0
1069,ID 1069,,,,1,0.0,0.0
